location,date,total_cases,new_cases
Vietnam,1/23/2020,2,2
Vietnam,1/24/2020,2,0
Vietnam,1/25/2020,2,0
Vietnam,1/26/2020,2,0
Vietnam,1/27/2020,2,0
Vietnam,1/28/2020,2,0
Vietnam,1/29/2020,2,0
Vietnam,1/30/2020,2,0
Vietnam,1/31/2020,2,0
Vietnam,2/1/2020,6,4
Vietnam,2/2/2020,6,0
Vietnam,2/3/2020,8,2
Vietnam,2/4/2020,8,0
Vietnam,2/5/2020,8,0
Vietnam,2/6/2020,10,2
Vietnam,2/7/2020,10,0
Vietnam,2/8/2020,13,3
Vietnam,2/9/2020,13,0
Vietnam,2/10/2020,14,1
Vietnam,2/11/2020,15,1
Vietnam,2/12/2020,15,0
Vietnam,2/13/2020,16,1
Vietnam,2/14/2020,16,0
Vietnam,2/15/2020,16,0
Vietnam,2/16/2020,16,0
Vietnam,2/17/2020,16,0
Vietnam,2/18/2020,16,0
Vietnam,2/19/2020,16,0
Vietnam,2/20/2020,16,0
Vietnam,2/21/2020,16,0
Vietnam,2/22/2020,16,0
Vietnam,2/23/2020,16,0
Vietnam,2/24/2020,16,0
Vietnam,2/25/2020,16,0
Vietnam,2/26/2020,16,0
Vietnam,2/27/2020,16,0
Vietnam,2/28/2020,16,0
Vietnam,2/29/2020,16,0
Vietnam,3/1/2020,16,0
Vietnam,3/2/2020,16,0
Vietnam,3/3/2020,16,0
Vietnam,3/4/2020,16,0
Vietnam,3/5/2020,16,0
Vietnam,3/6/2020,16,0
Vietnam,3/7/2020,18,2
Vietnam,3/8/2020,30,12
Vietnam,3/9/2020,30,0
Vietnam,3/10/2020,31,1
Vietnam,3/11/2020,38,7
Vietnam,3/12/2020,39,1
Vietnam,3/13/2020,47,8
Vietnam,3/14/2020,53,6
Vietnam,3/15/2020,56,3
Vietnam,3/16/2020,61,5
Vietnam,3/17/2020,66,5
Vietnam,3/18/2020,75,9
Vietnam,3/19/2020,85,10
Vietnam,3/20/2020,91,6
Vietnam,3/21/2020,94,3
Vietnam,3/22/2020,113,19
Vietnam,3/23/2020,123,10
Vietnam,3/24/2020,134,11
Vietnam,3/25/2020,141,7
Vietnam,3/26/2020,153,12
Vietnam,3/27/2020,163,10
Vietnam,3/28/2020,174,11
Vietnam,3/29/2020,188,14
Vietnam,3/30/2020,203,15
Vietnam,3/31/2020,212,9
Vietnam,4/1/2020,218,6
Vietnam,4/2/2020,233,15
Vietnam,4/3/2020,237,4
Vietnam,4/4/2020,240,3
Vietnam,4/5/2020,241,1
Vietnam,4/6/2020,245,4
Vietnam,4/7/2020,249,4
Vietnam,4/8/2020,251,2
Vietnam,4/9/2020,255,4
Vietnam,4/10/2020,257,2
Vietnam,4/11/2020,258,1
Vietnam,4/12/2020,262,4
Vietnam,4/13/2020,265,3
Vietnam,4/14/2020,266,1
Vietnam,4/15/2020,267,1
Vietnam,4/16/2020,268,1
Vietnam,4/17/2020,268,0
Vietnam,4/18/2020,268,0
Vietnam,4/19/2020,268,0
Vietnam,4/20/2020,268,0
Vietnam,4/21/2020,268,0
Vietnam,4/22/2020,268,0
Vietnam,4/23/2020,268,0
Vietnam,4/24/2020,270,2
Vietnam,4/25/2020,270,0
Vietnam,4/26/2020,270,0
Vietnam,4/27/2020,270,0
Vietnam,4/28/2020,270,0
Vietnam,4/29/2020,270,0
Vietnam,4/30/2020,270,0
Vietnam,5/1/2020,270,0
Vietnam,5/2/2020,270,0
Vietnam,5/3/2020,271,1
Vietnam,5/4/2020,271,0
Vietnam,5/5/2020,271,0
Vietnam,5/6/2020,271,0
Vietnam,5/7/2020,288,17
Vietnam,5/8/2020,288,0
Vietnam,5/9/2020,288,0
Vietnam,5/10/2020,288,0
Vietnam,5/11/2020,288,0
Vietnam,5/12/2020,288,0
Vietnam,5/13/2020,288,0
Vietnam,5/14/2020,312,24
Vietnam,5/15/2020,314,2
Vietnam,5/16/2020,318,4
Vietnam,5/17/2020,320,2
Vietnam,5/18/2020,324,4
Vietnam,5/19/2020,324,0
Vietnam,5/20/2020,324,0
Vietnam,5/21/2020,324,0
Vietnam,5/22/2020,324,0
Vietnam,5/23/2020,325,1
Vietnam,5/24/2020,325,0
Vietnam,5/25/2020,326,1
Vietnam,5/26/2020,327,1
Vietnam,5/27/2020,327,0
Vietnam,5/28/2020,327,0
Vietnam,5/29/2020,328,1
Vietnam,5/30/2020,328,0
Vietnam,5/31/2020,328,0
Vietnam,6/1/2020,328,0
Vietnam,6/2/2020,328,0
Vietnam,6/3/2020,328,0
Vietnam,6/4/2020,328,0
Vietnam,6/5/2020,328,0
Vietnam,6/6/2020,329,1
Vietnam,6/7/2020,331,2
Vietnam,6/8/2020,332,1
Vietnam,6/9/2020,332,0
Vietnam,6/10/2020,332,0
Vietnam,6/11/2020,332,0
Vietnam,6/12/2020,333,1
Vietnam,6/13/2020,334,1
Vietnam,6/14/2020,334,0
Vietnam,6/15/2020,334,0
Vietnam,6/16/2020,334,0
Vietnam,6/17/2020,335,1
Vietnam,6/18/2020,342,7
Vietnam,6/19/2020,349,7
Vietnam,6/20/2020,349,0
Vietnam,6/21/2020,349,0
Vietnam,6/22/2020,349,0
Vietnam,6/23/2020,349,0
Vietnam,6/24/2020,352,3
Vietnam,6/25/2020,352,0
Vietnam,6/26/2020,353,1
Vietnam,6/27/2020,355,2
Vietnam,6/28/2020,355,0
Vietnam,6/29/2020,355,0
Vietnam,6/30/2020,355,0
Vietnam,7/1/2020,355,0
Vietnam,7/2/2020,355,0
Vietnam,7/3/2020,355,0
Vietnam,7/4/2020,355,0
Vietnam,7/5/2020,355,0
Vietnam,7/6/2020,369,14
Vietnam,7/7/2020,369,0
Vietnam,7/8/2020,369,0
Vietnam,7/9/2020,369,0
Vietnam,7/10/2020,370,1
Vietnam,7/11/2020,370,0
Vietnam,7/12/2020,372,2
Vietnam,7/13/2020,373,1
Vietnam,7/14/2020,373,0
Vietnam,7/15/2020,381,8
Vietnam,7/16/2020,381,0
Vietnam,7/17/2020,382,1
Vietnam,7/18/2020,382,0
Vietnam,7/19/2020,383,1
Vietnam,7/20/2020,384,1
Vietnam,7/21/2020,401,17
Vietnam,7/22/2020,408,7
Vietnam,7/23/2020,412,4
Vietnam,7/24/2020,415,3
Vietnam,7/25/2020,417,2
Vietnam,7/26/2020,420,3
Vietnam,7/27/2020,431,11
Vietnam,7/28/2020,446,15
Vietnam,7/29/2020,459,13
Vietnam,7/30/2020,509,50
Vietnam,7/31/2020,558,49
Vietnam,8/1/2020,590,32
Vietnam,8/2/2020,621,31
Vietnam,8/3/2020,652,31
Vietnam,8/4/2020,672,20
Vietnam,8/5/2020,717,45
Vietnam,8/6/2020,750,33
Vietnam,8/7/2020,789,39
Vietnam,8/8/2020,812,23
Vietnam,8/9/2020,841,29
Vietnam,8/10/2020,847,6
Vietnam,8/11/2020,866,19
Vietnam,8/12/2020,883,17
Vietnam,8/13/2020,911,28
Vietnam,8/14/2020,930,19
Vietnam,8/15/2020,951,21
Vietnam,8/16/2020,964,13
Vietnam,8/17/2020,983,19
Vietnam,8/18/2020,989,6
Vietnam,8/19/2020,994,5
Vietnam,8/20/2020,1007,13
Vietnam,8/21/2020,1009,2
Vietnam,8/22/2020,1014,5
Vietnam,8/23/2020,1016,2
Vietnam,8/24/2020,1022,6
Vietnam,8/25/2020,1029,7
Vietnam,8/26/2020,1034,5
Vietnam,8/27/2020,1036,2
Vietnam,8/28/2020,1038,2
Vietnam,8/29/2020,1040,2
Vietnam,8/30/2020,1040,0
Vietnam,8/31/2020,1044,4
Vietnam,9/1/2020,1044,0
Vietnam,9/2/2020,1046,2
Vietnam,9/3/2020,1046,0
Vietnam,9/4/2020,1049,3
Vietnam,9/5/2020,1049,0
Vietnam,9/6/2020,1049,0
Vietnam,9/7/2020,1049,0
Vietnam,9/8/2020,1054,5
Vietnam,9/9/2020,1059,5
Vietnam,9/10/2020,1059,0
Vietnam,9/11/2020,1060,1
Vietnam,9/12/2020,1060,0
Vietnam,9/13/2020,1063,3
Vietnam,9/14/2020,1063,0
Vietnam,9/15/2020,1063,0
Vietnam,9/16/2020,1063,0
Vietnam,9/17/2020,1066,3
Vietnam,9/18/2020,1068,2
Vietnam,9/19/2020,1068,0
Vietnam,9/20/2020,1068,0
Vietnam,9/21/2020,1068,0
Vietnam,9/22/2020,1068,0
Vietnam,9/23/2020,1069,1
Vietnam,9/24/2020,1069,0
Vietnam,9/25/2020,1069,0
Vietnam,9/26/2020,1069,0
Vietnam,9/27/2020,1074,5
Vietnam,9/28/2020,1077,3
Vietnam,9/29/2020,1094,17
Vietnam,9/30/2020,1094,0
Vietnam,10/1/2020,1095,1
Vietnam,10/2/2020,1096,1
Vietnam,10/3/2020,1096,0
Vietnam,10/4/2020,1096,0
Vietnam,10/5/2020,1097,1
Vietnam,10/6/2020,1098,1
Vietnam,10/7/2020,1099,1
Vietnam,10/8/2020,1100,1
Vietnam,10/9/2020,1105,5
Vietnam,10/10/2020,1107,2
Vietnam,10/11/2020,1109,2
Vietnam,10/12/2020,1110,1
Vietnam,10/13/2020,1113,3
Vietnam,10/14/2020,1122,9
Vietnam,10/15/2020,1124,2
Vietnam,10/16/2020,1124,0
Vietnam,10/17/2020,1126,2
Vietnam,10/18/2020,1134,8
Vietnam,10/19/2020,1140,6
Vietnam,10/20/2020,1141,1
Vietnam,10/21/2020,1144,3
Vietnam,10/22/2020,1148,4
Vietnam,10/23/2020,1148,0
Vietnam,10/24/2020,1160,12
Vietnam,10/25/2020,1168,8
Vietnam,10/26/2020,1169,1
Vietnam,10/27/2020,1172,3
Vietnam,10/28/2020,1173,1
Vietnam,10/29/2020,1177,4
Vietnam,10/30/2020,1177,0
Vietnam,10/31/2020,1180,3
Vietnam,11/1/2020,1180,0
Vietnam,11/2/2020,1192,12
Vietnam,11/3/2020,1202,10
Vietnam,11/4/2020,1203,1
Vietnam,11/5/2020,1207,4
Vietnam,11/6/2020,1212,5
Vietnam,11/7/2020,1213,1
Vietnam,11/8/2020,1213,0
Vietnam,11/9/2020,1215,2
Vietnam,11/10/2020,1226,11
Vietnam,11/11/2020,1252,26
Vietnam,11/12/2020,1253,1
Vietnam,11/13/2020,1256,3
Vietnam,11/14/2020,1265,9
Vietnam,11/15/2020,1281,16
Vietnam,11/16/2020,1283,2
Vietnam,11/17/2020,1288,5
Vietnam,11/18/2020,1300,12
Vietnam,11/19/2020,1304,4
Vietnam,11/20/2020,1305,1
Vietnam,11/21/2020,1306,1
Vietnam,11/22/2020,1307,1
Vietnam,11/23/2020,1312,5
Vietnam,11/24/2020,1316,4
Vietnam,11/25/2020,1321,5
Vietnam,11/26/2020,1331,10
Vietnam,11/27/2020,1339,8
Vietnam,11/28/2020,1341,2
Vietnam,11/29/2020,1343,2
Vietnam,11/30/2020,1347,4
Vietnam,12/1/2020,1351,4
Vietnam,12/2/2020,1358,7
Vietnam,12/3/2020,1361,3
Vietnam,12/4/2020,1361,0
Vietnam,12/5/2020,1365,4
Vietnam,12/6/2020,1366,1
Vietnam,12/7/2020,1367,1
Vietnam,12/8/2020,1377,10
Vietnam,12/9/2020,1381,4
Vietnam,12/10/2020,1385,4
Vietnam,12/11/2020,1391,6
Vietnam,12/12/2020,1395,4
Vietnam,12/13/2020,1397,2
Vietnam,12/14/2020,1402,5
Vietnam,12/15/2020,1405,3
Vietnam,12/16/2020,1405,0
Vietnam,12/17/2020,1407,2
Vietnam,12/18/2020,1410,3
Vietnam,12/19/2020,1411,1
Vietnam,12/20/2020,1413,2
Vietnam,12/21/2020,1414,1
Vietnam,12/22/2020,1420,6
Vietnam,12/23/2020,1421,1
Vietnam,12/24/2020,1432,11
Vietnam,12/25/2020,1439,7
