location,date,new_cases
China,1/1/2021,18
China,1/2/2021,28
China,1/3/2021,33
China,1/4/2021,33
China,1/5/2021,32
China,1/6/2021,63
China,1/7/2021,53
China,1/8/2021,33
China,1/9/2021,69
China,1/10/2021,103
China,1/11/2021,55
China,1/12/2021,115
China,1/13/2021,138
China,1/14/2021,144
China,1/15/2021,130
China,1/16/2021,109
China,1/17/2021,109
China,1/18/2021,118
China,1/19/2021,103
China,1/20/2021,144
China,1/21/2021,110
China,1/22/2021,100
China,1/23/2021,80
China,1/24/2021,124
China,1/25/2021,82
China,1/26/2021,75
China,1/27/2021,54
China,1/28/2021,52
China,1/29/2021,52
China,1/30/2021,92
China,1/31/2021,42
China,2/1/2021,30
China,2/2/2021,25
China,2/3/2021,30
China,2/4/2021,20
China,2/5/2021,12
China,2/6/2021,11
China,2/7/2021,14
China,2/8/2021,14
China,2/9/2021,14
China,2/10/2021,2
China,2/11/2021,12
China,2/12/2021,8
China,2/13/2021,7
China,2/14/2021,9
China,2/15/2021,16
China,2/16/2021,7
China,2/17/2021,11
China,2/18/2021,10
China,2/19/2021,8
China,2/20/2021,7
China,2/21/2021,11
China,2/22/2021,10
China,2/23/2021,12
China,2/24/2021,7
China,2/25/2021,6
China,2/26/2021,10
China,2/27/2021,6
China,2/28/2021,19
China,3/1/2021,11
China,3/2/2021,10
China,3/3/2021,10
China,3/4/2021,9
China,3/5/2021,10
China,3/6/2021,13
China,3/7/2021,19
China,3/8/2021,8
China,3/9/2021,5
China,3/10/2021,11
China,3/11/2021,9
China,3/12/2021,7
China,3/13/2021,10
China,3/14/2021,5
China,3/15/2021,13
China,3/16/2021,4
China,3/17/2021,6
China,3/18/2021,11
China,3/19/2021,4
China,3/20/2021,12
China,3/21/2021,7
China,3/22/2021,9
China,3/23/2021,10
China,3/24/2021,11
China,3/25/2021,11
China,3/26/2021,12
China,3/27/2021,11
China,3/28/2021,12
China,3/29/2021,8
China,3/30/2021,11
China,3/31/2021,16
China,4/1/2021,9
China,4/2/2021,26
China,4/3/2021,20
China,4/4/2021,33
China,4/5/2021,24
China,4/6/2021,12
China,4/7/2021,24
China,4/8/2021,21
China,4/9/2021,14
China,4/10/2021,10
China,4/11/2021,16
China,4/12/2021,9
China,4/13/2021,12
China,4/14/2021,10
China,4/15/2021,11
China,4/16/2021,15
China,4/17/2021,16
China,4/18/2021,11
China,4/19/2021,10
China,4/20/2021,21
China,4/21/2021,6
China,4/22/2021,19
China,4/23/2021,9
China,4/24/2021,13
China,4/25/2021,11
China,4/26/2021,11
China,4/27/2021,12
China,4/28/2021,20
China,4/29/2021,13
China,4/30/2021,16
Russia,1/1/2021,26613
Russia,1/2/2021,25938
Russia,1/3/2021,23845
Russia,1/4/2021,23015
Russia,1/5/2021,23955
Russia,1/6/2021,23902
Russia,1/7/2021,23218
Russia,1/8/2021,23330
Russia,1/9/2021,23012
Russia,1/10/2021,22540
Russia,1/11/2021,23018
Russia,1/12/2021,22657
Russia,1/13/2021,22544
Russia,1/14/2021,24303
Russia,1/15/2021,24294
Russia,1/16/2021,23670
Russia,1/17/2021,23178
Russia,1/18/2021,22509
Russia,1/19/2021,21442
Russia,1/20/2021,20806
Russia,1/21/2021,21544
Russia,1/22/2021,21182
Russia,1/23/2021,20585
Russia,1/24/2021,20800
Russia,1/25/2021,18999
Russia,1/26/2021,17982
Russia,1/27/2021,17464
